"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"
"X2"	NA	0.85493874	0.94177753	0.92719684	0.89193097	0.9605996	0.89728665	0.65869285	0.90356949	0.69336335	0.76742065	0.95152245	0.88351132	0.5905739	0.89387357	0.8676536	0.95842303	0.98395935	0.55487126	0.93072198	0.90042845	0.56731301	0.58307707	0.95451108	0.91576196	0.91575771	0.89686957	0.84591728	0.84163777	0.87537028	0.85602094	0.93557784	0.54115224	0.86800166	0.94666678	0.54413461	0.87474586	0.865798	0.90793917	0.90312697	0.95765821	0.90322168	0.89777566	0.93368052	0.88337311	0.88553296	0.7358737	0.5755855	0.91738349	0.75826312	0.85864961	0.88129695	0.96944962	0.89637476	0.92100697	0.86181416	0.9066737	0.9508524	0.85049401	0.84718239	0.69078744
"X3"	0.98263004	NA	0.90365196	0.86206065	0.86287382	0.86137753	0.82745984	0.68860205	0.82891537	0.77332515	0.79049132	0.84589837	0.93625123	0.65667404	0.86011869	0.89059448	0.85950196	0.85312613	0.64045008	0.89432619	0.90500711	0.63560437	0.6548485	0.84706585	0.90253591	0.82919484	0.87398394	0.88478279	0.79748906	0.89492821	0.84067804	0.85658089	0.60904147	0.93714308	0.89295117	0.62548652	0.90065232	0.8470563	0.8821908	0.90572752	0.84711264	0.91356392	0.87438061	0.90533468	0.86471496	0.87089526	0.78169866	0.63393617	0.89475827	0.78087691	0.83704831	0.84092589	0.85922522	0.87366076	0.83306786	0.96165007	0.91018615	0.85418535	0.87620108	0.91779567	0.78238794
"X4"	0.99725459	0.99202034	NA	0.9276617	0.89925065	0.94224817	0.87833077	0.67327592	0.8829752	0.71961055	0.78157361	0.92068438	0.93209018	0.6231856	0.90436519	0.89720079	0.93734601	0.93990141	0.58361668	0.95491038	0.93097075	0.59894864	0.6195762	0.92381333	0.93269622	0.89156991	0.90110672	0.87850738	0.84721241	0.90337907	0.87328636	0.93500563	0.57464694	0.92400197	0.95922193	0.57190346	0.91640846	0.88086698	0.91466501	0.92937655	0.92113024	0.9382003	0.90500002	0.98639501	0.88846008	0.8940082	0.75874981	0.6035746	0.93574704	0.77190819	0.87655473	0.89155227	0.94424851	0.90888099	0.89778171	0.91167901	0.94799333	0.92244129	0.87639666	0.87995896	0.7172384
"X5"	0.99523513	0.98786624	0.99658801	NA	0.96210044	0.96227227	0.83060601	0.72063542	0.83618016	0.74649792	0.83528769	0.883737	0.87302263	0.64995285	0.96454035	0.83138356	0.95461898	0.92018034	0.60669683	0.88850566	0.86330598	0.62133206	0.64067428	0.88602317	0.87405387	0.84747767	0.83941524	0.90166309	0.9020688	0.84120194	0.9213862	0.98303121	0.5989136	0.8742779	0.90241735	0.59664144	0.90686531	0.93290477	0.8522631	0.86484205	0.8870393	0.87184819	0.95645668	0.91782137	0.82569435	0.94795854	0.79365483	0.63134737	0.8717889	0.82542346	0.92084221	0.94510845	0.95703738	0.84410488	0.85359648	0.87300849	0.87759655	0.88520382	0.90417731	0.88443418	0.74178331
"X6"	0.99049318	0.98719912	0.99340475	0.99885891	NA	0.92653932	0.79908494	0.74698226	0.80443388	0.769695	0.86712999	0.84917	0.85177063	0.67295848	0.98317082	0.8034494	0.92159076	0.88547873	0.6300181	0.85711913	0.83341246	0.64419855	0.66384974	0.85164424	0.84153623	0.81483874	0.80689761	0.91919268	0.92706042	0.81148442	0.94197475	0.95335546	0.62195514	0.87307188	0.86952758	0.61906644	0.90920159	0.95669194	0.81974547	0.83425134	0.85186124	0.84269962	0.97109354	0.89098217	0.79317671	0.97093891	0.81745973	0.65431882	0.83927127	0.86041441	0.93851617	0.96525743	0.92128623	0.81160087	0.82111364	0.87422433	0.84822661	0.85021492	0.92313075	0.89135703	0.76314464
"X7"	0.99824534	0.98751906	0.99783847	0.99898117	0.99595347	NA	0.86474044	0.69170442	0.87061421	0.72552243	0.80075912	0.91821684	0.88276544	0.62515797	0.92818923	0.85287593	0.98563893	0.95224529	0.58679716	0.91292228	0.88535781	0.59907796	0.61678785	0.92051983	0.903568	0.88191171	0.87173943	0.87773104	0.86953503	0.86503502	0.88692377	0.96629225	0.57450205	0.8740226	0.93212743	0.57616684	0.89323204	0.89692137	0.8834204	0.88878292	0.92349394	0.89390631	0.93108808	0.93503741	0.85803703	0.91941423	0.76850427	0.60849238	0.89782177	0.79107324	0.88685344	0.90963507	0.98491156	0.87123457	0.88801173	0.8719776	0.89911198	0.92169228	0.88205086	0.87187798	0.72241148
"X8"	0.99208	0.96794138	0.98663532	0.97745452	0.96768185	0.98538654	NA	0.57793643	0.99263049	0.6362111	0.67955281	0.94430711	0.87235822	0.52040583	0.80047174	0.88524079	0.86495808	0.90621344	0.50750616	0.91201011	0.90357724	0.50112297	0.51650163	0.94188166	0.91567433	0.97906127	0.93026482	0.76565197	0.75296531	0.88951153	0.76902573	0.83917818	0.47551846	0.82495511	0.91653332	0.48925994	0.79921263	0.77598472	0.93017099	0.90439	0.93609417	0.89991476	0.80510528	0.87998223	0.92126114	0.79308772	0.65341695	0.50242467	0.91713888	0.67044096	0.77232369	0.7909553	0.87090383	0.92881651	0.97410301	0.81887795	0.89876905	0.93572215	0.77083848	0.78196501	0.63993728
"X9"	0.90049931	0.93077285	0.91481702	0.93738295	0.94907204	0.92357071	0.85289296	NA	0.58225464	0.86857631	0.87755657	0.62177351	0.64055324	0.86082941	0.7420736	0.59306367	0.68902613	0.65350031	0.81210953	0.63451128	0.61747587	0.83198749	0.84613614	0.62412045	0.62243159	0.59115879	0.59002889	0.76021191	0.7359561	0.60122205	0.74094219	0.70937242	0.82148846	0.68524634	0.64273906	0.81199121	0.71502203	0.74592963	0.60184131	0.6176858	0.62459195	0.62612505	0.7532773	0.66848752	0.57867534	0.76363133	0.88170282	0.84873977	0.61902697	0.87962598	0.73054213	0.73180763	0.68535262	0.59590062	0.59675966	0.70029516	0.63309569	0.62183743	0.74645086	0.75156945	0.8359554
"X10"	0.99298539	0.9686184	0.98751073	0.97869695	0.96917825	0.98638876	0.99995836	0.85487439	NA	0.6390748	0.68419196	0.95076198	0.87441429	0.52403805	0.80604589	0.88467334	0.87105356	0.9126683	0.50918103	0.91613685	0.9058063	0.50501276	0.52039142	0.94833652	0.91749597	0.98616027	0.93008199	0.77017958	0.7582173	0.88918591	0.77387063	0.84521982	0.47915067	0.82808263	0.92102687	0.49178346	0.80385705	0.78093963	0.93097577	0.90590542	0.94261745	0.90209149	0.81053808	0.88480787	0.92059916	0.79820205	0.65754716	0.50631446	0.92011291	0.67508012	0.77725041	0.79633019	0.87707512	0.92912262	0.98049222	0.8220657	0.90147982	0.94105398	0.77536608	0.78539331	0.6417237
"X11"	0.92034139	0.96232581	0.93698481	0.95019094	0.95940104	0.93998269	0.8804576	0.98625827	0.88190038	NA	0.87200922	0.66969622	0.71739772	0.84226683	0.76625433	0.67353182	0.72537618	0.68966577	0.84997987	0.69360454	0.68945039	0.82428597	0.84047281	0.67054496	0.69476963	0.64448629	0.66179356	0.80937155	0.74438652	0.68085087	0.7641819	0.73367651	0.80315477	0.7461724	0.70111509	0.82307269	0.75163882	0.76866574	0.67040354	0.69147505	0.67281328	0.69886909	0.78053907	0.71667853	0.65142942	0.78879258	0.93320539	0.83150313	0.68591346	0.8696026	0.75288722	0.75267736	0.71602646	0.66191529	0.64989634	0.77422966	0.6992587	0.67362803	0.79857527	0.82405875	0.96045312
