spec	long	lat	
abietina	-43.6556	-18.4458	
abietina	-43.642500	-18.564444	
abietina	-43.592777	-18.572222	
abietina	-43.639639	-18.560639	
abietina	-43.7	        -18.27	
abietina	-43.599167  	-18.157500	
abietina	-43.666667  	-18.250000	
abietina	-43.690667	-18.328167	
abietina	-43.690667	-18.328167	
abietina	-43.674611	-18.259083	
abietina	-43.620722	-18.210528	
abietina	-43.647583	-18.250583	
abietina	-43.611028	-18.151361	
abietina	-43.686972	-18.233000	
abietina	-43.717389	-18.282444	
abietina	-43.713056	-18.273139	
abietina	-43.483333	-18.45	
abietina	-43.647428	-18.251339	
abietina	-43.712761	-18.273753	
abietina	-43.715369	-18.282144	
abietina	-43.6666666667	-18.25	
abietina	-43.599203	-18.157289	
abietina	-43.621181	-18.202072	
abietina	-43.72035	-18.36499	
abietina	-43.7406	-18.4544	
abietina	-43.83445	-18.56465	
abietina	-43.720667	-18.459472	
abietina	-43.951083	-18.599389	
abietina	-43.876642	-18.579539	
abietina	-43.592500	-18.571944	
abietina	-43.592500 	-18.571944	
abietina	-43.5925	-18.5719	
abietina	-43.488722	-18.575722	
abietina	-43.5925	-18.5719444444	
abietina	-43.488658	-18.575675	
abietina	-43.301556	-18.398583	
abietina	-43.401250	-18.414806	
abietina	-43.43833	-18.53861	
abietina	-43.55	        -18.55	
abietina	-43.520889	-18.568111	
abietina	-43.493028	-18.571778	
abietina	-43.488194	-18.473917	
abietina	-43.450333	-18.522389	
abietina	-43.483333	-18.450000	
abietina	-43.592861	-18.571722	
abietina	-43.592772	-18.572083	
abietina	-43.433167	-18.848000	
alata	-43.7447	-19.5136	
alata	-43.762345	-19.008004	
alata	-43.75576	-19.006194	
alata	-43.758611	-19.005833	
alata	-43.554488	-19.288549	
albiflora	-41.286139	-20.175833	
albiflora	-41.019167	-20.403889	
albiflora	-40.775	        -19.797222	
albiflora	-40.981111	-19.741389	
albiflora	-40.921389	-20.1775	
albiflora	-40.616667	-19.936111	
albiflora	-40.826111	-19.874444	
albiflora	-40.739722	-19.826944	
albiflora	-43.970386	-20.119969	
albiflora	-43.972747	-20.136319	
albiflora	-44.059258	-20.118519	
albiflora	-44.0875	-20.256111	
albiflora	-44.093889	-20.260278	
albiflora	-44.141975	-20.160572	
albiflora	-44.15355	-20.101853	
albiflora	-43.666667	-18.25	
albiflora	-44.6	        -18.183333	
albiflora	-44.583333	-18.116667	
albiflora	-44.616667	-18.216667	
albiflora	-43.552778	-18.355	
albiflora	-44.438611	-20.414444	
albiflora	-43.083333	-18.083333	
albiflora	-43.309994	-19.394919	
albiflora	-44.05	        -20.83528	
albiflora	-43.883333	-21.7	
albiflora	-43.414444	-20.3525	
albiflora	-43.436667	-20.153611	
albiflora	-43.991603	-20.352483	
albiflora	-44.012778	-20.336944	
albiflora	-41.432222	-20.175	
albiflora	-43.956111	-20.095556	
albiflora	-43.954167	-20.0975	
albiflora	-43.960556	-20.09	
albiflora	-44.004556	-20.056889	
albiflora	-43.991389	-20.077222	
albiflora	-43.278333	-20.510556	
albiflora	-43.6325	-20.148889	
albiflora	-43.88	        -21.67	
albiflora	-43.719722	-19.018889	
albiflora	-44.499297	-21.230303	
albiflora	-43.366667	-18.6	
albiflora	-43.033333	-18.083333	
albiflora	-43.033333 	-18.083333	
albiflora	-43.683333	-18.433333	
albiflora	-43.550000	-18.333333	
albiflora	-43.600000	-18.150000	
albiflora	-43.600000	-18.183333	
albiflora	-43.666667	-18.250000	
albiflora	-44.600000	-18.183333	
albiflora	-43.616667 	-18.166667	
albiflora	-43.600000	-21.800000	
albiflora	-43.883333	-22.000000	
albiflora	-43.371389	-18.145000	
albiflora	-43.371389 	-18.145000	
albiflora	-43.985556	-22.416667	
aloifolia	-43.0106	-16.8722	
aloifolia	-44.1666667	-20.1166667	
aloifolia	-44.6	        -18.183333	
aloifolia	-43.674722	-18.25	
aloifolia	-43.666667	-18.25	
aloifolia	-43.883333	-18.333333	
aloifolia	-44.583333	-18.116667	
aloifolia	-43	         -18	
aloifolia	-43.7833	-18.0833	
aloifolia	-43.539757	-19.388386	
aloifolia	-43.724167	-19.020833	
aloifolia	-43.704722	-19.025	
aloifolia	-43.51675	-19.23425	
aloifolia	-43.350000 	-18.133333	
aloifolia	-43.342222 	-18.106944	
auriculata	-42.724694	-18.005611	
auriculata	-42.865000 	-18.230833	
auriculata	-42.891111	-17.857222	
auriculata	-43.045083	-18.134694	
auriculata	-43.033889	-18.100833	
auriculata	-43.045000	-18.134722	
auriculata	-43.038889	-18.108333	
auriculata	-43.319167	-18.198056	
auriculata	-43.318333	-18.196667	
barbata	-43.6003	         -18.2494	
barbata	-43.620722  	        -18.210528	
barbata	-43.624319  	        -18.203239	
barbata	-44.061203  	-18.294236	
brevifolia	-43.511878	-20.135094	
brevifolia	-42.741111	-18.001111	
brevifolia	-42.7411111	-18.0111944	
brevifolia	-43.450833	-20.133333	
brevifolia	-43.579144 	-19.233267	
breviscapa	-43.542778	-18.352500	
breviscapa	-43.7	-18.27	
breviscapa	-43.666667	-18.25	
breviscapa	-43.7833	-18.0833	
breviscapa	-43.5611111	-18.17235	
breviscapa	-43.552778	-18.355	
breviscapa	-43.738561 	-18.296806	
breviscapa	-43.54277778	-18.3525	
breviscapa	-43.880292	-18.581219	
burlemarxii	-41.084444	-11.482778	
burlemarxii	-41.0994444444444	-11.5994444444444	
burlemarxii	-41.1467	-11.5589	
burlemarxii	-41.200833	-11.628056	
burlemarxii	-41.001944 	-11.626667	
burlemarxii	-41.107778 	-11.573333	
burlemarxii	-41.033333	-11.633333	
burlemarxii	-41.146667	-11.558889	
burlemarxii	-41.004167	-11.625833	
burlemarxii	-41.002019 	-11.627314	
burlemarxii	-41.01666	-11.63333	
caespitosa	-43.567278 	 -18.568944	
caespitosa	-43.680306 	 -18.343361	
caespitosa	-43.927111 	 -18.585889	
caespitosa	-43.927278 	 -18.585472	
caespitosa	-43.839889 	 -18.298722	
caespitosa	-43.844722 	 -18.294750	
caespitosa	-43.852500 	 -18.296806	
caespitosa	-43.749611 	 -18.299778	
caespitosa	-43.577944 	 -18.595611	
caespitosa	-43.553472 	 -18.357333	
caespitosa	-43.552222 	 -18.347972	
caespitosa	-43.896528 	 -18.538222	
caespitosa	-43.592194 	 -18.571583	
caespitosa	-43.591667 	 -18.571889	
candida	-41.3666648865	-15.9499998093	
candida	-39.777222	-16.678056	
candida	-39.866667 	-12.900000	
candida	-40.798611 	-18.944167	
candida	-40.801944	-18.934444	
candida	-40.665556	-18.967778	
candida	-41.098611 	-20.537500	
candida	-41.083611 	-20.516111	
candida	-40.447500 	-20.516111	
candida	-40.550833	-19.348250	
candida	-40.616667	-19.936111	
candida	-40.604167 	-18.615000	
candida	-40.588611 	-18.639444	
candida	-40.798611	-18.944167	
candida	-40.802056	-18.944556	
candida	-40.667778	-18.978889	
candida	-40.665556	-18.977778	
candida	-41.098611	-20.5375	
candida	-41.100556	-20.519167	
candida	-41.083611	-20.516111	
candida	-40.551111	-19.348333	
candida	-40.4475	-18.770278	
candida	-40.432778	-18.7825	
candida	-40.400278	-18.7775	
candida	-40.774889	-19.191472	
candida	-41.366667	-15.950000	
candida	-41.260944	-17.855972	
candida	-41.260833	-17.856111	
candida	-41.260833 	-17.856111	
candida	-43.0084	-22.5309	
canelinha	-41.95	-13.533333	
canelinha	-41.433333	-12.466667	
canelinha	-41.18	-13.32	
canelinha	-41.57	-13.3102	
canelinha	-41.966667	-13.533333	
canelinha	-41.8114	-13.5792	
canelinha	-41.950000	-13.517222	
caput-ardeae	-43.685125	-18.412369	
caput-ardeae	-43.680833	-18.343056	
caput-ardeae	-43.6808333333	-18.3430555556	
caput-ardeae	-43.590375	-18.201844	
caput-ardeae	-43.693158	-18.263083	
caput-ardeae	-43.675197	-18.259658	
caput-ardeae	-43.533081	-18.119039	
caput-ardeae	-43.688272	-18.285333	
caput-ardeae	-43.654042 	-18.463036	
caput-ardeae	-43.704722	-19.025	
caruncularis	-52.8731	-10.8339	
caruncularis	-41.883333	-13.300000	
caruncularis	-43.5775	-20.018333	
caruncularis	-43.930278	-20.421389	
caruncularis	-44.02675	-20.076861	
caruncularis	-44.059258	-20.118519	
caruncularis	-44.0875	-20.256111	
caruncularis	-44.216667	-20.133333	
caruncularis	-43.983906	-20.107833	
caruncularis	-44.15355	-20.101853	
caruncularis	-43.883333	-18.033333	
caruncularis	-44.606019	-20.203858	
caruncularis	-43.918889	-20.441111	
caruncularis	-43.905833	-20.445833	
caruncularis	-43.573136	-19.340261	
caruncularis	-43.6556	-18.4458	
caruncularis	-43.666667	-18.25	
caruncularis	-43.883333	-18.333333	
