spec;long;lat
sp;-62.05;-14.416667
sp;-44.665982;-22.385479
sp;-41.78;-13.25
sp;-41.35;-12.98
sp;-39.015311;-14.10395
sp;-43.567497;-19.391589
sp;-43.4;-18.9
sp;-48.078611;-13.566944
sp;-43.589444;-20.461389
sp;-47.833333;-15.883333
sp;-44.6;-18.183333
sp;-43.666667;-18.25
sp;-43.714167;-19.168889
sp;-43.714167;-19.168889
sp;-43.714167;-19.168889
sp;-43.714167;-19.168889
sp;-43.714167;-19.168889
sp;-44.353611;-19.124167
sp;-44.353611;-19.124167
sp;-43.475;-18.567222
sp;-43.475;-18.567222
sp;-43.475;-18.567222
sp;-43.475;-18.567222
sp;-43.475;-18.567222
sp;-43.475;-18.567222
sp;-47.610556;-17.699444
sp;-43.706944;-19.066111
sp;-43.706667;-19.066389
sp;-41.87;-13.27
sp;-41.77;-13.38
sp;-41.9;-13.3
sp;-41.85;-13.33
sp;-41.85;-13.33
sp;-41.87;-13.32
sp;-41.85;-13.3
sp;-41.6633;-13.2497
sp;-41.83;-13.37
sp;-41.88;-13.32
sp;-41.78;-13.27
sp;-41.6633;-13.2497
sp;-41.85;-13.3
sp;-41.88;-13.33
sp;-41.8;-13.28
sp;-41.88;-13.3
sp;-41.65;-13.233333
sp;-41.65;-13.233333
sp;-41.85;-13.3
sp;-41.88;-13.3
sp;-41.87;-13.3
sp;-41.65;-13.233333
sp;-41.833333;-13.033333
sp;-41.9;-13.283333
sp;-41.85;-13.3
sp;-41.85;-13.333333
sp;-41.866667;-13.3
sp;-41.85;-13.3
sp;-41.883333;-13.3
sp;-41.883333;-13.3
sp;-41.766667;-13.383333
sp;-41.883333;-13.316667
sp;-41.866667;-13.3
sp;-41.733333;-13.266667
sp;-42.366667;-13.833333
sp;-41.8525;-13.328333
sp;-41.85;-13.316667
sp;-41.9;-13.3
sp;-41.9;-13.3
sp;-41.883333;-13.333333
sp;-41.883333;-13.333333
sp;-41.833333;-13.316667
sp;-41.85;-13.333333
sp;-41.85;-13.333333
sp;-41.85;-13.3
sp;-41.9;-13.283333
sp;-41.85;-13.3
sp;-41.866667;-13.316667
sp;-41.883333;-13.3
sp;-41.866667;-13.266667
sp;-41.833333;-13.033333
sp;-41.833333;-13.033333
sp;-41.898333;-13.265
sp;-41.549444;-13.304722
sp;-41.851111;-13.328611
sp;-41.7;-13.266667
sp;-40.995833;-18.571944
sp;-40.995833;-18.571944
sp;-39.46667;-12.85
sp;-48.384166;-16.190555
sp;-52.212222;-3.196111
sp;-47.5097;-14.1325
sp;-47.5167;-13.80036
sp;-47.48;-13.98
sp;-47.62;-14.15
sp;-47.507222;-14.071306
sp;-47.507222;-14.071306
sp;-47.2546;-13.5532
sp;-47.768889;-14.138889
sp;-47.5;-13.766667
sp;-47.79;-14.165555
sp;-47.593888;-14.178888
sp;-47.3451;-13.9457
sp;-47.516667;-14.116667
sp;-47.5;-13.766667
sp;-47.5;-13.766667
sp;-47.516667;-14.116667
sp;-47.5;-13.766667
sp;-47.526667;-14.040556
sp;-47.7322;-14.1358
sp;-47.7322;-14.1358
sp;-47.760278;-14.150833
sp;-47.439167;-13.933611
sp;-47.593889;-14.178889
sp;-48.149444;-14.246111
sp;-47.790556;-14.1675
sp;-46.260001;-9.899997
sp;-41.26667;-12.95
sp;-47.85;-15.866667
sp;-47.85;-15.866667
sp;-41.3;-12.866667
sp;-41.383333;-12.809722
sp;-41.316667;-12.8
sp;-41.316667;-12.8
sp;-41.246944;-12.906389
sp;-41.316667;-12.8
sp;-41.316667;-12.8
sp;-41.346111;-12.806389
sp;-41.346111;-12.806389
sp;-41.282778;-12.948889
sp;-41.282778;-12.948889
sp;-41.341111;-12.804167
sp;-41.341111;-12.804167
sp;-41.349444;-12.783056
sp;-41.446111;-12.806389
sp;-41.346111;-12.806389
sp;-41.316667;-12.8
sp;-41.316667;-12.8
sp;-41.316667;-12.8
sp;-52.981111;-16.795
sp;-52.9811;-16.795
sp;-43.515278;-19.887222
sp;-43.521111;-19.878333
sp;-43.521111;-19.878333
sp;-43.5775;-20.018333
sp;-63.366667;0.85
sp;-63.339306;0.871972
sp;-41.16;-13.41
sp;-41.1905;-13.4129
sp;-41.381806;-13.58125
sp;-41.316667;-13.683333
sp;-41.314722;-13.751667
sp;-52.266944;-15.328611
sp;-52.227694;-15.352139
sp;-51.228528;-15.352028
sp;-43.8875;-19.9475
sp;-43.910278;-19.961667
sp;-43.910278;-19.961667
sp;-43.910278;-19.961667
sp;-43.910278;-19.961667
sp;-43.909444;-20.435278
sp;-40.129444;-14.412778
sp;-43.794444;-17.589861
sp;-43.794444;-17.589861
sp;-41.760833;-12.803056
sp;-42.980556;-16.868611
sp;-47.9294;-15.7797
sp;-47.9294;-15.7797
sp;-47.828722;-15.861406
sp;-47.944167;-15.961111
sp;-47.672222;-15.732778
sp;-48.241667;-15.865556
sp;-47.933056;-15.970278
sp;-47.316667;-15.483333
sp;-47.891111;-15.916667
sp;-47.955083;-15.975417
sp;-47.316667;-15.483333
sp;-47.955083;-15.975417
sp;-48.241667;-15.865556
sp;-47.85;-15.866667
sp;-47.804722;-15.97
sp;-47.666667;-15.916667
sp;-47.316667;-15.483333
sp;-47.316667;-15.483333
sp;-47.316667;-15.483333
sp;-47.896111;-15.915
sp;-47.672222;-15.732778
sp;-47.85;-15.866667
sp;-47.316667;-15.483333
sp;-47.316667;-15.483333
sp;-47.975278;-15.6825
sp;-47.891389;-15.915
sp;-47.316667;-15.483333
sp;-43.972747;-20.136319
sp;-43.989608;-20.102775
sp;-44.02675;-20.076861
sp;-44.250833;-17.915833
sp;-43.666667;-19.816667
sp;-42.533333;-14.133333
sp;-42.466667;-14.066667
sp;-42.537222;-14.358889
sp;-42.313889;-13.944722
sp;-42.541389;-14.146667
sp;-51.769167;-17.076944
sp;-51.769167;-17.076944
sp;-51.769167;-17.076944
sp;-39.033333;-13.483333
sp;-39.033333;-13.483333
sp;-39.033333;-13.483333
sp;-39.033333;-13.483333
sp;-39.033333;-13.483333
sp;-48.6247;-17.7419
sp;-48.566666;-18
sp;-38.5;-12.966667
sp;-50.319722;-6.414722
sp;-63.790278;-8.186944
sp;-46.44611;-20.99306
sp;-43.485278;-9.220556
sp;-43.485278;-9.220556
sp;-43.485278;-9.220556
sp;-43.485278;-9.220556
sp;-43.485278;-9.220556
sp;-47.366667;-6.916667
sp;-47.462777;-7.3508333
sp;-47.4725;-7.0175
sp;-47.441111;-7.0441666
sp;-46.946944;-7.3452777
sp;-47.423056;-7.186944
sp;-47.423056;-7.186944
sp;-44.679861;-21.445861
sp;-49.954167;-9.44
sp;-39.466667;-13.85
sp;-43.461944;-20.105556
sp;-43.461944;-20.105556
sp;-43.466667;-20.1
sp;-43.466667;-20.1
sp;-43.526944;-20.093333
sp;-43.513333;-20.135
sp;-43.463333;-20.134444
sp;-43.681328;-20.237114
sp;-43.431528;-20.163111
sp;-47.818333;-13.680833
sp;-47.521666;-13.886388
sp;-47.521666;-13.886388
sp;-48.046944;-13.4275
sp;-48.078611;-13.566944
sp;-55.7497;-15.4606
sp;-55.864317;-15.327742
sp;-55.720111;-15.432806
sp;-48.771389;-15.809167
sp;-48.441389;-15.763333
sp;-48.673611;-15.832778
sp;-48.771111;-15.786667
sp;-48.771111;-15.846944
sp;-40.857222;-19.525833
sp;-48.14917;-13.83333
sp;-48.9437;-14.08254
sp;-43.4247;-19.0372
sp;-43.403055;-18.9975
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.5475;-19.267778
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.677222;-18.9425
sp;-43.404831;-19.106578
sp;-43.404831;-19.106578
sp;-43.404831;-19.106578
sp;-43.477778;-18.924444
sp;-43.477778;-18.924444
sp;-43.866667;-20.45
sp;-43.721333;-19.046222
sp;-43.721333;-19.046222
sp;-43.722333;-18.806019
sp;-44.026389;-18.298056
sp;-48.8086;-15.9236
sp;-48.8086;-15.9236
sp;-47.6133;-16.7686
sp;-47.6136;-16.7686
sp;-47.620167;-16.733833
sp;-47.603056;-16.743333
sp;-47.686111;-16.732222
sp;-47.540556;-16.803333
sp;-47;-16.736389
sp;-43.592777;-18.572222
sp;-46.614917;-20.230917
sp;-46.814389;-20.33775
sp;-43.88;-18.3
sp;-43.7533;-18.0359
sp;-43.552777;-18.355
sp;-43.908611;-18.313333
sp;-43.612222;-18.261667
sp;-43.666667;-18.25
sp;-43.52;-18.2625
sp;-43.666667;-18.25
sp;-43.666667;-18.25
sp;-43.583611;-18.220833
sp;-43.666667;-18.25
sp;-43.879722;-18.310556
sp;-43.583611;-18.220833
sp;-43;-18
sp;-43.522222;-18.181111
sp;-43.4312;-18.1658
sp;-43.522222;-18.181111
sp;-43.522222;-18.181111
sp;-43.4059;-19.0743
sp;-43.552778;-18.3125
sp;-43.4312;-18.1658
sp;-43.4312;-18.1658
sp;-43.4312;-18.1658
sp;-43.475;-18.567222
sp;-43.691667;-18.35
sp;-43.792222;-18.289444
sp;-43.591389;-18.204722
sp;-43.618333;-18.224167
sp;-43.575;-18.148056
sp;-43.593333;-18.139167
sp;-43.649167;-18.138889
sp;-43.623056;-18.188611
sp;-43.623056;-18.188611
sp;-43.566389;-18.198056
sp;-43.684444;-18.274444
sp;-43.628056;-18.191944
sp;-43.706944;-19.066111
sp;-43.599444;-18.1575
sp;-43.801389;-17.914444
sp;-43.612222;-18.261667
sp;-43.612222;-18.261667
sp;-43.908611;-18.313333
sp;-43.57;-18.196111
sp;-43.612222;-18.261667
sp;-43.879722;-18.310556
